!CSV A.01.01,,,,,,
!Agilent Technologies,N5234A,MY52241167,A.10.00.00,,,
!Agilent N5234A: A.10.00.00,,,,,,
!Date: Friday, December 20, 2024 12:49:26,,,,
!Source: Standard,,,,,,
,,,,,,
BEGIN CH1_DATA,,Measure,,,,Simulated
Freq(Hz),S11 Log Mag(dB),S12 Log Mag(dB),,Freq(Hz),S11 Log Mag(dB),S12 Log Mag(dB)
2,-1.706588,-31.471514,,2,-0.01885,-34.01411
2.065,-1.6504463,-30.79118,,2.025,-0.01916,-33.84296
2.13,-1.5688639,-30.530939,,2.05,-0.01947,-33.67224
2.195,-1.4838697,-30.116343,,2.075,-0.01979,-33.50192
2.26,-1.425727,-29.723753,,2.1,-0.02011,-33.33195
2.325,-1.3667828,-28.961761,,2.125,-0.02044,-33.1623
2.39,-1.3204764,-29.256693,,2.15,-0.02077,-32.99295
2.455,-1.268105,-28.168816,,2.175,-0.0211,-32.82385
2.52,-1.2070512,-28.001484,,2.2,-0.02144,-32.65497
2.585,-1.1616328,-27.699387,,2.225,-0.02179,-32.48628
2.65,-1.1029769,-27.66147,,2.25,-0.02214,-32.31776
2.715,-1.0476106,-26.696627,,2.275,-0.02249,-32.14937
2.78,-0.99802327,-26.57946,,2.3,-0.02285,-31.98107
2.845,-0.98093861,-26.809378,,2.325,-0.02322,-31.81285
2.91,-0.93607694,-25.793678,,2.35,-0.02359,-31.64468
2.975,-0.92869759,-25.912653,,2.375,-0.02397,-31.47652
3.04,-0.88083422,-25.570969,,2.4,-0.02435,-31.30835
3.105,-0.85051095,-24.885612,,2.425,-0.02475,-31.14015
3.17,-0.83446622,-24.279379,,2.45,-0.02514,-30.97188
3.235,-0.78319395,-23.578913,,2.475,-0.02555,-30.80352
3.3,-0.78691649,-23.075686,,2.5,-0.02596,-30.63506
3.365,-0.7746703,-21.355463,,2.525,-0.02638,-30.46645
3.43,-0.77215111,-20.680153,,2.55,-0.02681,-30.29768
3.495,-0.77544188,-19.812597,,2.575,-0.02725,-30.12872
3.56,-0.74106503,-18.514051,,2.6,-0.02769,-29.95955
3.625,-0.77228761,-17.519737,,2.625,-0.02814,-29.79015
3.69,-0.74147505,-17.093216,,2.65,-0.02861,-29.62049
3.755,-0.76567423,-16.431732,,2.675,-0.02908,-29.45055
3.82,-0.75362927,-15.331865,,2.7,-0.02956,-29.2803
3.885,-0.76443142,-15.174068,,2.725,-0.03005,-29.10973
3.95,-0.79153991,-14.51764,,2.75,-0.03056,-28.93882
4.015,-0.75426865,-13.982655,,2.775,-0.03107,-28.76753
4.08,-0.79035968,-13.509085,,2.8,-0.0316,-28.59584
4.145,-0.79735899,-12.972521,,2.825,-0.03213,-28.42375
4.21,-0.83355618,-12.266861,,2.85,-0.03269,-28.25122
4.275,-0.88671911,-12.259364,,2.875,-0.03325,-28.07823
4.34,-0.94057906,-11.316133,,2.9,-0.03383,-27.90476
4.405,-1.0247266,-10.30056,,2.925,-0.03442,-27.73079
4.47,-1.091364,-10.597754,,2.95,-0.03503,-27.5563
4.535,-1.2629044,-10.021974,,2.975,-0.03565,-27.38126
4.6,-1.408808,-8.1678162,,3,-0.0363,-27.20566
4.665,-1.5304236,-7.990644,,3.025,-0.03696,-27.02948
4.73,-1.7454897,-9.7854748,,3.05,-0.03763,-26.85269
4.795,-2.3906827,-6.0771899,,3.075,-0.03833,-26.67527
4.86,-2.654072,-5.0288892,,3.1,-0.03905,-26.4972
4.925,-2.6354527,-5.0197058,,3.125,-0.03979,-26.31845
4.99,-3.2844872,-4.0509119,,3.15,-0.04055,-26.13902
5.055,-3.8038385,-3.1451721,,3.175,-0.04133,-25.95887
5.12,-4.8615103,-2.0126705,,3.2,-0.04214,-25.77799
5.185,-5.8218293,-2.4211893,,3.225,-0.04298,-25.59635
5.25,-5.6970453,-2.7959123,,3.25,-0.04384,-25.41393
5.315,-7.1978889,-1.4106121,,3.275,-0.04473,-25.23072
5.38,-9.1129675,-2.1812501,,3.3,-0.04565,-25.04668
5.445,-10.764888,-2.2324715,,3.325,-0.04661,-24.8618
5.51,-11.594521,-1.300848,,3.35,-0.04759,-24.67605
5.575,-13.500947,-1.5729375,,3.375,-0.04862,-24.48941
5.64,-16.081896,-2.4545717,,3.4,-0.04968,-24.30186
5.705,-19.409729,-1.2327924,,3.425,-0.05078,-24.11338
5.77,-20.703947,-1.3244076,,3.45,-0.05192,-23.92394
5.835,-23.327581,-2.1573811,,3.475,-0.0531,-23.73352
5.9,-29.810381,-1.332756,,3.5,-0.05433,-23.54211
5.965,-32.43993,-1.3815684,,3.525,-0.05562,-23.34966
6.03,-34.891716,-1.4798341,,3.55,-0.05695,-23.15617
6.095,-31.849785,-1.4561915,,3.575,-0.05833,-22.9616
6.16,-28.797468,-1.4561915,,3.6,-0.05978,-22.76593
6.225,-26.271669,-1.1270976,,3.625,-0.06129,-22.56915
6.29,-28.55011,-1.1270976,,3.65,-0.06286,-22.37122
6.355,-29.556917,-1.3385782,,3.675,-0.0645,-22.17211
6.42,-27.959169,-1.1270976,,3.7,-0.06621,-21.97181
6.485,-28.314735,-1.3815684,,3.725,-0.068,-21.77029
6.55,-26.462505,-1.3244076,,3.75,-0.06987,-21.56752
6.615,-27.619438,-1.2327924,,3.775,-0.07183,-21.36347
6.68,-27.908224,-1.3224444,,3.8,-0.07387,-21.15813
6.745,-26.305717,-1.2327924,,3.825,-0.07602,-20.95146
6.81,-20.439135,-2.3327924,,3.85,-0.07827,-20.74343
6.875,-21.032166,-2.0620224,,3.875,-0.08063,-20.53403
6.94,-19.224127,-2.5986981,,3.9,-0.08311,-20.32321
7.005,-17.946554,-2.399287,,3.925,-0.08572,-20.11096
7.07,-15.90073,-1.8222511,,3.95,-0.08845,-19.89725
7.135,-14.080364,-2.5604613,,3.975,-0.09133,-19.68204
7.2,-14.38444,-2.0450664,,4,-0.09436,-19.46531
7.265,-12.935015,-2.0784471,,4.025,-0.09755,-19.24703
7.33,-11.302281,-2.5936599,,4.05,-0.10091,-19.02716
7.395,-10.615806,-2.214895,,4.075,-0.10445,-18.80569
7.46,-9.9334021,-1.9753929,,4.1,-0.10819,-18.58258
7.525,-9.6790857,-2.711503,,4.125,-0.11214,-18.3578
7.59,-8.4346256,-3.493566,,4.15,-0.11631,-18.13131
7.655,-6.8593187,-1.9654261,,4.175,-0.12072,-17.9031
7.72,-6.6390972,-2.8817515,,4.2,-0.12539,-17.67313
7.785,-6.285881,-3.4156287,,4.225,-0.13033,-17.44136
7.85,-5.2484455,-3.1457019,,4.25,-0.13557,-17.20778
7.915,-4.5549874,-3.3826568,,4.275,-0.14112,-16.97234
7.98,-4.0894384,-4.0565553,,4.3,-0.14701,-16.73502
8.045,-4.1399779,-4.4177938,,4.325,-0.15326,-16.49578
8.11,-3.6248381,-4.3886223,,4.35,-0.15991,-16.25461
8.175,-3.0360167,-5.4831967,,4.375,-0.16697,-16.01146
8.24,-3.1371486,-5.5102749,,4.4,-0.17449,-15.76631
8.305,-3.0158079,-5.7012906,,4.425,-0.18249,-15.51914
